Task 0,55
Task 1,53
Task 2,43
Task 3,19
Task 4,5
Task 5,97
Task 6,85
Task 7,67
Task 8,69
Task 9,96
Task 10,8
Task 11,34
Task 12,62
Task 13,15
Task 14,30
Task 15,50
Task 16,82
Task 17,10
Task 18,18
Task 19,5
Task 20,82
Task 21,43
Task 22,67
Task 23,61
Task 24,24
Task 25,84
Task 26,90
Task 27,43
Task 28,10
Task 29,27
Task 30,86
Task 31,36
Task 32,70
Task 33,4
Task 34,28
Task 35,3
Task 36,20
Task 37,38
Task 38,61
Task 39,81
Task 40,44
Task 41,19
Task 42,50
Task 43,73
Task 44,5
Task 45,79
Task 46,74
Task 47,54
Task 48,63
Task 49,66
Task 50,43
Task 51,33
Task 52,40
Task 53,100
Task 54,4
Task 55,5
Task 56,11
Task 57,80
Task 58,20
Task 59,71
Task 60,59
Task 61,2
Task 62,80
Task 63,14
Task 64,22
Task 65,64
Task 66,22
Task 67,24
Task 68,60
Task 69,67
Task 70,70
Task 71,89
Task 72,39
Task 73,40
Task 74,95
Task 75,3
Task 76,52
Task 77,25
Task 78,94
Task 79,26
Task 80,30
Task 81,77
Task 82,19
Task 83,3
Task 84,29
Task 85,20
Task 86,50
Task 87,64
Task 88,13
Task 89,27
Task 90,33
Task 91,93
Task 92,73
Task 93,21
Task 94,22
Task 95,10
Task 96,80
Task 97,44
Task 98,82
Task 99,7
Task 100,81
Task 101,16
Task 102,26
Task 103,81
Task 104,75
Task 105,77
Task 106,69
Task 107,77
Task 108,17
Task 109,41
Task 110,94
Task 111,3
Task 112,13
Task 113,90
Task 114,88
Task 115,14
Task 116,84
Task 117,75
Task 118,8
Task 119,51
Task 120,92
Task 121,33
Task 122,41
Task 123,34
Task 124,1
Task 125,65
Task 126,55
Task 127,12
Task 128,32
Task 129,17
Task 130,99
Task 131,55
Task 132,49
Task 133,16
Task 134,72
Task 135,4
Task 136,19
Task 137,67
Task 138,23
Task 139,8
Task 140,64
Task 141,2
Task 142,61
Task 143,78
Task 144,3
Task 145,28
Task 146,27
Task 147,38
Task 148,62
Task 149,29
Task 150,96
Task 151,6
Task 152,33
Task 153,63
Task 154,27
Task 155,56
Task 156,81
Task 157,16
Task 158,90
Task 159,90
Task 160,89
Task 161,68
Task 162,76
Task 163,2
Task 164,53
Task 165,76
Task 166,47
Task 167,17
Task 168,73
Task 169,44
Task 170,98
Task 171,70
Task 172,51
Task 173,57
Task 174,58
Task 175,3
Task 176,62
Task 177,30
Task 178,100
Task 179,5
Task 180,50
Task 181,12
Task 182,28
Task 183,94
Task 184,32
Task 185,39
Task 186,1
Task 187,59
Task 188,59
Task 189,92
Task 190,75
Task 191,12
Task 192,38
Task 193,23
Task 194,74
Task 195,98
Task 196,71
Task 197,20
Task 198,29
Task 199,6
Task 200,1
Task 201,69
Task 202,16
Task 203,9
Task 204,30
Task 205,79
Task 206,44
Task 207,86
Task 208,72
Task 209,22
Task 210,43
Task 211,6
Task 212,2
Task 213,78
Task 214,19
Task 215,4
Task 216,31
Task 217,51
Task 218,6
Task 219,86
Task 220,4
Task 221,76
Task 222,98
Task 223,90
Task 224,41
Task 225,82
Task 226,40
Task 227,31
Task 228,22
Task 229,26
Task 230,37
Task 231,28
Task 232,75
Task 233,61
Task 234,94
Task 235,40
Task 236,26
Task 237,91
Task 238,65
Task 239,73
Task 240,15
Task 241,43
Task 242,90
Task 243,74
Task 244,23
Task 245,44
Task 246,24
Task 247,82
Task 248,29
Task 249,35
Task 250,8
Task 251,3
Task 252,93
Task 253,75
Task 254,78
Task 255,52
Task 256,20
Task 257,86
Task 258,40
Task 259,31
Task 260,98
Task 261,31
Task 262,59
Task 263,38
Task 264,56
Task 265,30
Task 266,12
Task 267,79
Task 268,56
Task 269,84
Task 270,67
Task 271,59
Task 272,66
Task 273,13
Task 274,86
Task 275,8
Task 276,68
Task 277,49
Task 278,15
Task 279,25
Task 280,67
Task 281,20
Task 282,36
Task 283,68
Task 284,13
Task 285,33
Task 286,99
Task 287,49
Task 288,5
Task 289,42
Task 290,17
Task 291,15
Task 292,41
Task 293,61
Task 294,43
Task 295,31
Task 296,32
Task 297,26
Task 298,34
Task 299,60
Task 300,42
Task 301,84
Task 302,100
Task 303,3
Task 304,14
Task 305,5
Task 306,90
Task 307,79
Task 308,41
Task 309,18
Task 310,99
Task 311,62
Task 312,71
Task 313,92
Task 314,26
Task 315,57
Task 316,75
Task 317,45
Task 318,30
Task 319,9
Task 320,83
Task 321,59
Task 322,40
Task 323,3
Task 324,42
Task 325,51
Task 326,95
Task 327,92
Task 328,58
Task 329,30
Task 330,5
Task 331,28
Task 332,19
Task 333,18
Task 334,13
Task 335,76
Task 336,36
Task 337,14
Task 338,99
Task 339,14
Task 340,8
Task 341,42
Task 342,7
Task 343,42
Task 344,51
Task 345,48
Task 346,68
Task 347,11
Task 348,42
Task 349,25
Task 350,10
Task 351,80
Task 352,86
Task 353,37
Task 354,58
Task 355,50
Task 356,11
Task 357,25
Task 358,33
Task 359,6
Task 360,13
Task 361,73
Task 362,91
Task 363,7
Task 364,94
Task 365,89
Task 366,76
Task 367,10
Task 368,48
Task 369,63
Task 370,88
Task 371,72
Task 372,21
Task 373,3
Task 374,28
Task 375,68
Task 376,60
Task 377,8
Task 378,35
Task 379,76
Task 380,58
Task 381,15
Task 382,48
Task 383,44
Task 384,63
Task 385,42
Task 386,56
Task 387,16
Task 388,27
Task 389,65
Task 390,8
Task 391,23
Task 392,37
Task 393,1
Task 394,86
Task 395,73
Task 396,34
Task 397,20
Task 398,76
Task 399,84
Task 400,33
Task 401,73
Task 402,63
Task 403,64
Task 404,15
Task 405,91
Task 406,23
Task 407,62
Task 408,63
Task 409,20
Task 410,7
Task 411,38
Task 412,80
Task 413,86
Task 414,66
Task 415,24
Task 416,87
Task 417,87
Task 418,19
Task 419,6
Task 420,65
Task 421,26
Task 422,15
Task 423,13
Task 424,7
Task 425,52
Task 426,51
Task 427,26
Task 428,57
Task 429,15
Task 430,26
Task 431,90
Task 432,94
Task 433,77
Task 434,81
Task 435,37
Task 436,88
Task 437,71
Task 438,2
Task 439,21
Task 440,88
Task 441,15
Task 442,56
Task 443,88
Task 444,37
Task 445,21
Task 446,15
Task 447,67
Task 448,11
Task 449,90
Task 450,42
Task 451,9
Task 452,56
Task 453,80
Task 454,86
Task 455,62
Task 456,18
Task 457,84
Task 458,45
Task 459,92
Task 460,17
Task 461,31
Task 462,19
Task 463,11
Task 464,45
Task 465,87
Task 466,7
Task 467,97
Task 468,54
Task 469,30
Task 470,3
Task 471,39
Task 472,87
Task 473,33
Task 474,23
Task 475,44
Task 476,4
Task 477,42
Task 478,4
Task 479,23
Task 480,62
Task 481,26
Task 482,3
Task 483,56
Task 484,19
Task 485,85
Task 486,20
Task 487,92
Task 488,82
Task 489,72
Task 490,32
Task 491,21
Task 492,38
Task 493,61
Task 494,20
Task 495,97
Task 496,43
Task 497,20
Task 498,97
Task 499,65
Task 500,98
Task 501,88
Task 502,4
Task 503,5
Task 504,36
Task 505,78
Task 506,29
Task 507,65
Task 508,30
Task 509,97
Task 510,73
Task 511,51
Task 512,72
Task 513,85
Task 514,76
Task 515,70
Task 516,87
Task 517,92
Task 518,27
Task 519,9
Task 520,82
Task 521,59
Task 522,56
Task 523,18
Task 524,59
Task 525,36
Task 526,28
Task 527,15
Task 528,43
Task 529,40
Task 530,51
Task 531,33
Task 532,71
Task 533,6
Task 534,58
Task 535,22
Task 536,98
Task 537,85
Task 538,40
Task 539,10
Task 540,49
Task 541,27
Task 542,4
Task 543,11
Task 544,10
Task 545,16
Task 546,98
Task 547,9
Task 548,58
Task 549,5
Task 550,28
Task 551,83
Task 552,83
Task 553,19
Task 554,50
Task 555,61
Task 556,22
Task 557,67
Task 558,40
Task 559,35
Task 560,64
Task 561,57
Task 562,89
Task 563,96
Task 564,27
Task 565,70
Task 566,77
Task 567,59
Task 568,47
Task 569,94
Task 570,36
Task 571,96
Task 572,13
Task 573,99
Task 574,7
Task 575,62
Task 576,37
Task 577,61
Task 578,5
Task 579,99
Task 580,16
Task 581,98
Task 582,83
Task 583,50
Task 584,3
Task 585,12
Task 586,72
Task 587,95
Task 588,29
Task 589,63
Task 590,97
Task 591,95
Task 592,40
Task 593,64
Task 594,42
Task 595,63
Task 596,57
Task 597,87
Task 598,74
Task 599,44
Task 600,82
Task 601,83
Task 602,76
Task 603,20
Task 604,69
Task 605,86
Task 606,93
Task 607,1
Task 608,7
Task 609,87
Task 610,21
Task 611,81
Task 612,46
Task 613,97
Task 614,95
Task 615,74
Task 616,2
Task 617,50
Task 618,85
Task 619,69
Task 620,53
Task 621,36
Task 622,17
Task 623,87
Task 624,45
Task 625,30
Task 626,4
Task 627,25
Task 628,51
Task 629,99
Task 630,95
Task 631,77
Task 632,77
Task 633,88
Task 634,96
Task 635,76
Task 636,55
Task 637,42
Task 638,49
Task 639,23
Task 640,82
Task 641,12
Task 642,97
Task 643,41
Task 644,35
Task 645,96
Task 646,84
Task 647,87
Task 648,84
Task 649,3
Task 650,97
Task 651,38
Task 652,32
Task 653,46
Task 654,16
Task 655,8
Task 656,53
Task 657,58
Task 658,13
Task 659,76
Task 660,29
Task 661,45
Task 662,29
Task 663,37
Task 664,5
Task 665,71
Task 666,88
Task 667,49
Task 668,7
Task 669,49
Task 670,58
Task 671,88
Task 672,2
Task 673,53
Task 674,66
Task 675,32
Task 676,94
Task 677,55
Task 678,50
Task 679,16
Task 680,14
Task 681,99
Task 682,39
Task 683,48
Task 684,34
Task 685,69
Task 686,18
Task 687,4
Task 688,89
Task 689,4
Task 690,81
Task 691,8
Task 692,5
Task 693,23
Task 694,9
Task 695,18
Task 696,52
Task 697,98
Task 698,48
Task 699,21
Task 700,8
Task 701,37
Task 702,88
Task 703,87
Task 704,94
Task 705,43
Task 706,72
Task 707,85
Task 708,81
Task 709,67
Task 710,20
Task 711,36
Task 712,52
Task 713,19
Task 714,33
Task 715,43
Task 716,86
Task 717,93
Task 718,82
Task 719,28
Task 720,91
Task 721,24
Task 722,82
Task 723,83
Task 724,69
Task 725,69
Task 726,47
Task 727,92
Task 728,31
Task 729,42
Task 730,98
Task 731,92
Task 732,80
Task 733,52
Task 734,1
Task 735,3
Task 736,59
Task 737,57
Task 738,76
Task 739,16
Task 740,9
Task 741,32
Task 742,51
Task 743,35
Task 744,29
Task 745,37
Task 746,36
Task 747,79
Task 748,58
Task 749,43
Task 750,24
Task 751,28
Task 752,43
Task 753,51
Task 754,37
Task 755,56
Task 756,93
Task 757,67
Task 758,22
Task 759,11
Task 760,11
Task 761,45
Task 762,50
Task 763,100
Task 764,62
Task 765,31
Task 766,63
Task 767,45
Task 768,76
Task 769,8
Task 770,7
Task 771,19
Task 772,53
Task 773,6
Task 774,1
Task 775,85
Task 776,38
Task 777,63
Task 778,74
Task 779,67
Task 780,25
Task 781,40
Task 782,88
Task 783,50
Task 784,11
Task 785,87
Task 786,18
Task 787,40
Task 788,11
Task 789,75
Task 790,19
Task 791,44
Task 792,47
Task 793,45
Task 794,5
Task 795,6
Task 796,89
Task 797,1
Task 798,53
Task 799,63
Task 800,26
Task 801,86
Task 802,88
Task 803,2
Task 804,58
Task 805,53
Task 806,99
Task 807,70
Task 808,64
Task 809,8
Task 810,26
Task 811,18
Task 812,5
Task 813,35
Task 814,20
Task 815,94
Task 816,74
Task 817,29
Task 818,28
Task 819,14
Task 820,45
Task 821,12
Task 822,10
Task 823,72
Task 824,32
Task 825,76
Task 826,51
Task 827,94
Task 828,93
Task 829,59
Task 830,33
Task 831,94
Task 832,21
Task 833,29
Task 834,15
Task 835,88
Task 836,86
Task 837,31
Task 838,33
Task 839,64
Task 840,90
Task 841,7
Task 842,97
Task 843,27
Task 844,78
Task 845,75
Task 846,15
Task 847,33
Task 848,83
Task 849,31
Task 850,85
Task 851,84
Task 852,5
Task 853,27
Task 854,46
Task 855,13
Task 856,32
Task 857,31
Task 858,73
Task 859,53
Task 860,8
Task 861,23
Task 862,66
Task 863,94
Task 864,63
Task 865,82
Task 866,75
Task 867,77
Task 868,81
Task 869,97
Task 870,33
Task 871,5
Task 872,35
Task 873,69
Task 874,100
Task 875,53
Task 876,4
Task 877,60
Task 878,99
Task 879,96
Task 880,9
Task 881,25
Task 882,86
Task 883,38
Task 884,90
Task 885,100
Task 886,70
Task 887,73
Task 888,58
Task 889,79
Task 890,15
Task 891,92
Task 892,27
Task 893,50
Task 894,76
Task 895,23
Task 896,39
Task 897,92
Task 898,83
Task 899,80
Task 900,85
Task 901,29
Task 902,20
Task 903,29
Task 904,57
Task 905,2
Task 906,73
Task 907,30
Task 908,53
Task 909,8
Task 910,85
Task 911,15
Task 912,95
Task 913,49
Task 914,32
Task 915,87
Task 916,41
Task 917,69
Task 918,60
Task 919,26
Task 920,73
